Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 16:24:00,1.2074,1.20776,1.20705,1.20739,6935.3
2003.12.02 16:25:00,1.20744,1.20779,1.20742,1.20751,6450.9
2003.12.02 16:26:00,1.20747,1.20777,1.20747,1.2077,5643.5
2003.12.02 16:27:00,1.20756,1.20764,1.20706,1.20743,3833.3
2003.12.02 16:28:00,1.2076,1.20804,1.20741,1.20768,3562.9
2003.12.02 16:29:00,1.20804,1.20818,1.20773,1.20787,6202.2
2003.12.02 16:30:00,1.20784,1.20827,1.20768,1.20815,5306.1
2003.12.02 16:31:00,1.20833,1.20855,1.20794,1.20809,4140
2003.12.02 16:32:00,1.20799,1.2081,1.20787,1.20804,3026.8
2003.12.02 16:33:00,1.20793,1.20813,1.20747,1.20767,6338.7
2003.12.02 16:34:00,1.20751,1.20794,1.20728,1.20728,6299.7
2003.12.02 16:35:00,1.2073,1.20758,1.20701,1.20701,4649.8
2003.12.02 16:36:00,1.20715,1.20739,1.20698,1.20719,3411.6
2003.12.02 16:37:00,1.20729,1.20776,1.2072,1.2076,4207.2
2003.12.02 16:38:00,1.20779,1.20799,1.20733,1.20744,1991.8
2003.12.02 16:39:00,1.20737,1.20752,1.20698,1.20706,3352.6
2003.12.02 16:40:00,1.20703,1.20735,1.20691,1.20691,4029.2
2003.12.02 16:41:00,1.20713,1.20796,1.20713,1.20774,3568.4
2003.12.02 16:42:00,1.20784,1.20826,1.20766,1.20802,5347.2
2003.12.02 16:43:00,1.20805,1.20878,1.20805,1.20827,2277.4
2003.12.02 16:44:00,1.20825,1.20847,1.20798,1.20812,3829.1
2003.12.02 16:45:00,1.20802,1.20816,1.20773,1.20785,1001.6
2003.12.02 16:46:00,1.20797,1.20833,1.20787,1.20821,1026.5
2003.12.02 16:47:00,1.20805,1.20834,1.20784,1.20834,2568.5
2003.12.02 16:48:00,1.20828,1.20858,1.20809,1.20858,3558.8
2003.12.02 16:49:00,1.20865,1.20897,1.20849,1.20861,2707
2003.12.02 16:50:00,1.20866,1.209,1.20854,1.20884,1427.7
